,Task name,Task description,Label,Task priority,Sprint number,Planned estimate,Actual estimate,Optimistic,Most likely,Pessimistic,Risk factor,Weighted average,Standard deviation,Confidence interval,Complexity factor,Final esimate,Unnamed: 16
6,Tune the model training parameters to improve accuracy - 1st variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,12,,,,,,,,,,
7,Evaluate the model,"Evaluate the trained model performance on the validation dataset and compare its performance by metrics, loss, and accuracy graphs.",EST_AI,Medium,ET Sprint 3,8,9,,,,,,,,,,
8,Train the model,Use a high computational system for training the model. Execute the model training script and monitor the performance of the model.,EST_AI,Medium,ET Sprint 3,24,23,,,,,,,,,,
9,Create training and utility scripts,Training script - Create a model training script containing all the required hyperparameters and set the fit function for the model. Utility scripts - Create a helper script.,EST_AI,Medium,ET Sprint 3,8,8,,,,,,,,,,
10,"Create model architecture, Define loss function, optimizer, metrics, training and validation parameters","Model architecture - Define the model branches, layers, activation functions, and kernel initializers. Loss function - Speficy the loss for the model. Optimizer - Specify the optimizer to minimize the loss function. Metrics - Speficy the accuracy. Training & Validation parameters - Speficy other hyperparameters",EST_AI,Medium,ET Sprint 3,8,7,,,,,,,,,,
11,"Create data preprocessing, feature engineering and feature encoding modules","Data preprocessing - Data cleaning and transforming script, Feature engineering - Python script to create and select features from raw data, Feature encoding - Converts categorical or text values into numerical vectors",EST_AI,Medium,ET Sprint 3,8,9,,,,,,,,,,
12,BE-JIRA integration with authentication and authorizations,Implementating authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,,,,,,,,,,
13,BE - Status of task already fetched from JIRA and updated to Jira,Implementing  sync and update feature for modified tasks.,EST_BE,Medium,ET Sprint 3,16,8,,,,,,,,,,
14,FE - Status of task already fetched from JIRA and updated to Jira,Implemention of  sync and update feature for modified tasks.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
15,BE - Update AI estimates to JIRA Single/Bulk,getting AI estimates and updating to JIRA.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
16,FE - Update AI estimates to JIRA Single/Bulk,,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
17,BE - Task details page/popup - with edit features,Implementation of each task details saving into DB and Jira  after modifications.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
18,FE - Task details page/popup - with edit features,Implementation of a popup for each task from task details page.,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
19,FE - Sorting and filter on datatables,implementation of Sorting and filtering functionality for data tables.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
20,"Create modules for data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session, etc...) - 1",Create classse and modules in python. Using this we can dispaly session data stored in DB as per the inputs from user.,EST_AI,High,DROW Sprint 5,32,40,,,,,,,,,,
21,Lips detection model creation,Create lips tracking algorithm in python using dlib library. This algorithm should detect and track lips in a video.,EST_AI,Medium,DROW Sprint 2,20,20,,,,,,,,,,
22,Module for sleepiness detection - 1,"This module should be able to detect whenever a person is feeling drowsy or sleepy. This module will use eyelid, lips and head tracking models.",EST_AI,High,DROW Sprint 3,20,20,,,,,,,,,,
23,Task 4: Calculate encodings of inputs,,EST_AI,Medium,,2,2,,,,,,,,,,
24,Task 3: Calculate encodings of inputs,,EST_AI,Medium,,5,6,,,,,,,,,,
25,FE - Pagination API for data tables,,EST_FE,Medium,,8,8,,,,,,,,,,
26,FE - Logout,,EST_FE,Medium,ET Sprint 2,8,0,,,,,,,,,,
27,BE - Saving Data to DB per Request/ Schema,,EST_BE,Medium,ET Sprint 2,16,8,,,,,,,,,,
28,BE - List of tasks - Edit Page Sync /update feature,Implementing Sync feature after doing changes in list of  tasks.,EST_BE,Medium,ET Sprint 3,8,8,,,,,,,,,,
29,FE - List of tasks - Edit Page Sync /update feature,,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
30,BE - List of tasks - Edit Page,"getting list of task details from JIRA, DB and AI estimation .",EST_BE,Medium,ET Sprint 3,8,8,,,,,,,,,,
31,FE - List of tasks - Edit Page,Implementation of listing all tasks on a single page.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
32,FE - List of tasks - list view along edit and sync feature,Implementation of edit and task feature on list of tasks.,EST_FE,Medium,ET Sprint 4,16,16,,,,,,,,,,
33,BE - List of Sprint Dashboard,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
34,FE - List of Sprint Dashboard,,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
35,BE - Add client edit page,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
36,"FE - delete, update client in add client dialog",,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
37,BE-Add client,,EST_BE,Medium,ET Sprint 2,16,24,,,,,,,,,,
38,FE-Add client,,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
39,BE-List of projects Dash board,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
40,FE-List of projects Dash board,,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
41,Task 2: Calculate encodings of inputs,,EST_AI,Medium,,35,35,,,,,,,,,,
42,Task 1: Calculate encodings of inputs,,EST_AI,Medium,,14,14,,,,,,,,,,
43,Task 2: Changes in model hyperparameters,,EST_AI,Medium,,3,3,,,,,,,,,,
44,Task 1: Changes in model hyperparameters,,EST_AI,Medium,,3,3,,,,,,,,,,
45,Task 2: Changes in model architecture to add new features,Add branches and layers in model architecture to use new input features.,EST_AI,Medium,ET Sprint 3,2,2,,,,,,,,,,
46,Task 1 : Changes in model architecture to add new features,Add branches and layers in model architecture to use new input features.,EST_AI,Medium,ET Sprint 3,2,2,,,,,,,,,,
48,FE: Side bar Dashboard,,EST_FE,Medium,ET Sprint 1,24,24,,,,,,,,,,
49,BE: Landing page,,EST_BE,Medium,ET Sprint 1,16,0,,,,,,,,,,
50,FE: landing page,,EST_FE,Medium,ET Sprint 1,16,16,,,,,,,,,,
51,BE : Login Page,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
52,BE : Sign Up page,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
53,FE : Sign Up page,,EST_FE,Medium,ET Sprint 1,8,8,,,,,,,,,,
54,FE- Login page,,EST_FE,Medium,ET Sprint 1,8,8,,,,,,,,,,
55,Set up environment and install packages,Setting up Python environment in AWS EC-2 Instance and installing required libraries and packages.,EST_INFRA,Medium,ET Sprint 3,4,4,,,,,,,,,,
56,Set up AWS EC-2 Instance,,EST_INFRA,Medium,ET Sprint 2,8,8,,,,,,,,,,
57,Set up JDK and integrate with backend,Setup the Java Development Kit in the project environment and integrate it with the Django.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
58,Create django models,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
59,Create django fields,,EST_BE,Medium,ET Sprint 1,12,12,,,,,,,,,,
60,Setup django configurations,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
61,Create post request,,EST_BE,Medium,ET Sprint 2,8,8,,,,,,,,,,
62,Create get request,,EST_BE,Medium,ET Sprint 1,4,4,,,,,,,,,,
63,Setup django project,,EST_BE,Medium,ET Sprint 1,4,4,,,,,,,,,,
64,Train and evaluate the model on added features,,EST_AI,Highest,ET Sprint 3,56,0,,,,,,,,,,
65,Changes in model hyperparameters,,EST_AI,Medium,,6,0,,,,,,,,,,
66,Changes in model architecture to add new features,,EST_AI,Medium,ET Sprint 3,4,4,,,,,,,,,,
67,Calculate encodings of inputs,,EST_AI,Medium,,56,0,,,,,,,,,,
68,User Role data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 2,8,8,,,,,,,,,,
69,User ID data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 2,8,8,,,,,,,,,,
70,Timesheet data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,8,,,,,,,,,,
71,Sprint number data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,7,,,,,,,,,,
72,Task priority data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,6,,,,,,,,,,
73,T-shirt size data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,8,,,,,,,,,,
75,JIRA integration with authentication and authorizations (Assuming we have the Jira account and credentials),Implementation of authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,,,,,,,,,,
76,Authorisation setup - with our DB,,EST_BE,Medium,,16,0,,,,,,,,,,
77,Creation of database,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
78,Validation - error and success messages for all pages,implementing error and success messages for all functionalities.,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
89,List of projects Dash board,Here getting projects from Jira dashboard by using project id.,EST_BE,Medium,ET Sprint 2,16,8,,,,,,,,,,
91,BE - labels should be part of import template.,,EST_BE,Medium,ET Sprint 4,8,0,,,,,,,,,,
92,BE - Import Excel standard format,,EST_BE,Medium,ET Sprint 4,8,0,,,,,,,,,,
120,Tune the model training parameters to improve accuracy - 5th variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
121,Tune the model training parameters to improve accuracy - 4th variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
122,Tune the model training parameters to improve accuracy - 3rd variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
169,Face Calibration,,EST_AI,High,,20,0,,,,,,,,,,
176,Run project and expose api's,,EST_INFRA,Medium,,2,0,,,,,,,,,,
177,Deploy project to AWS,,EST_INFRA,Medium,,16,0,,,,,,,,,,
182,Test the model,,EST_AI,Medium,,2,0,,,,,,,,,,
183,AI Engine Previous Estimates,,EST_AI,Medium,,8,0,,,,,,,,,,
199,OTP Screen -- [Minor improvement -> Related to back button & input fields],,EST_FE,Medium,,1,0,,,,,,,,,,
204,BE - Import Feature,,EST_BE,Medium,ET Sprint 4,32,24,,,,,,,,,,
205,Tune the model training parameters to improve accuracy - 2nd variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,12,,,,,,,,,,
206,BE - List of tasks - list view along edit and sync feature,Implementation of edit and task feature on list of tasks.,EST_BE,Medium,ET Sprint 4,16,0,,,,,,,,,,
207,Improve Model Performance (Iterative Process; 1 iteration = 7 Days),,EST_AI,High,ET Sprint 4,56,0,,,,,,,,,,
