Task name,Task description,Label,Task priority,Sprint number,Planned estimate,Actual estimate,Optimistic,Most likely,Pessimistic,Risk factor,Weighted average,Standard deviation,Confidence interval,Complexity factor,Final esimate,
Create modules for end-to-end pattern detection algorithm,,,Medium,DROW Sprint 5,40,43,,,,,,,,,,
Module for sleepiness detection - 2,"This module should be able to detect whenever a person is feeling drowsy or sleepy. This module will use eyelid, lips and head tracking models.",EST_AI,Medium,DROW Sprint 4,20,20,,,,,,,,,,
Module for focus detection,Create model for focus detection which calculate the focus time of the user.,EST_AI,High,DROW Sprint 5,0,41,,,,,,,,,,
Module for distraction detection,"This module should be able to detect whenever a person is distracted. This module will use eyelid, lips and head tracking models.",EST_AI,Medium,DROW Sprint 4,40,38,,,,,,,,,,
"Create modules for the data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session)","Create modules for the data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session)",,Medium,DROW Sprint 5,0,16,,,,,,,,,,
Create module for data to be displayed in dashboard with dummy data and structure it as per session.,Create module for data to be displayed in dashboard with dummy data and structure it as per session.,,Medium,DROW Sprint 5,0,16,,,,,,,,,,
Tune the model training parameters to improve accuracy - 1st variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,12,,,,,,,,,,
Evaluate the model,"Evaluate the trained model performance on the validation dataset and compare its performance by metrics, loss, and accuracy graphs.",EST_AI,Medium,ET Sprint 3,8,9,,,,,,,,,,
Train the model,Use a high computational system for training the model. Execute the model training script and monitor the performance of the model.,EST_AI,Medium,ET Sprint 3,24,23,,,,,,,,,,
Create training and utility scripts,Training script - Create a model training script containing all the required hyperparameters and set the fit function for the model. Utility scripts - Create a helper script.,EST_AI,Medium,ET Sprint 3,8,8,,,,,,,,,,
"Create model architecture, Define loss function, optimizer, metrics, training and validation parameters","Model architecture - Define the model branches, layers, activation functions, and kernel initializers. Loss function - Speficy the loss for the model. Optimizer - Specify the optimizer to minimize the loss function. Metrics - Speficy the accuracy. Training & Validation parameters - Speficy other hyperparameters",EST_AI,Medium,ET Sprint 3,8,7,,,,,,,,,,
"Create data preprocessing, feature engineering and feature encoding modules","Data preprocessing - Data cleaning and transforming script, Feature engineering - Python script to create and select features from raw data, Feature encoding - Converts categorical or text values into numerical vectors",EST_AI,Medium,ET Sprint 3,8,9,,,,,,,,,,
BE-JIRA integration with authentication and authorizations,Implementating authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,,,,,,,,,,
BE - Status of task already fetched from JIRA and updated to Jira,Implementing  sync and update feature for modified tasks.,EST_BE,Medium,ET Sprint 3,16,8,,,,,,,,,,
FE - Status of task already fetched from JIRA and updated to Jira,Implemention of  sync and update feature for modified tasks.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
BE - Update AI estimates to JIRA Single/Bulk,getting AI estimates and updating to JIRA.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
FE - Update AI estimates to JIRA Single/Bulk,,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
BE - Task details page/popup - with edit features,Implementation of each task details saving into DB and Jira  after modifications.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
FE - Task details page/popup - with edit features,Implementation of a popup for each task from task details page.,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
FE - Sorting and filter on datatables,implementation of Sorting and filtering functionality for data tables.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
"Create modules for data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session, etc...) - 1",Create classse and modules in python. Using this we can dispaly session data stored in DB as per the inputs from user.,EST_AI,High,DROW Sprint 5,32,40,,,,,,,,,,
Lips detection model creation,Create lips tracking algorithm in python using dlib library. This algorithm should detect and track lips in a video.,EST_AI,Medium,DROW Sprint 2,20,20,,,,,,,,,,
Module for sleepiness detection - 1,"This module should be able to detect whenever a person is feeling drowsy or sleepy. This module will use eyelid, lips and head tracking models.",EST_AI,High,DROW Sprint 3,20,20,,,,,,,,,,
Task 4: Calculate encodings of inputs,,EST_AI,Medium,,2,2,,,,,,,,,,
Task 3: Calculate encodings of inputs,,EST_AI,Medium,,5,6,,,,,,,,,,
FE - Pagination API for data tables,,EST_FE,Medium,,8,8,,,,,,,,,,
FE - Logout,,EST_FE,Medium,ET Sprint 2,8,0,,,,,,,,,,
BE - Saving Data to DB per Request/ Schema,,EST_BE,Medium,ET Sprint 2,16,8,,,,,,,,,,
BE - List of tasks - Edit Page Sync /update feature,Implementing Sync feature after doing changes in list of  tasks.,EST_BE,Medium,ET Sprint 3,8,8,,,,,,,,,,
FE - List of tasks - Edit Page Sync /update feature,,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
BE - List of tasks - Edit Page,"getting list of task details from JIRA, DB and AI estimation .",EST_BE,Medium,ET Sprint 3,8,8,,,,,,,,,,
FE - List of tasks - Edit Page,Implementation of listing all tasks on a single page.,EST_FE,Medium,ET Sprint 3,8,8,,,,,,,,,,
FE - List of tasks - list view along edit and sync feature,Implementation of edit and task feature on list of tasks.,EST_FE,Medium,ET Sprint 4,16,16,,,,,,,,,,
BE - List of Sprint Dashboard,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
FE - List of Sprint Dashboard,,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
BE - Add client edit page,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
"FE - delete, update client in add client dialog",,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
BE-Add client,,EST_BE,Medium,ET Sprint 2,16,24,,,,,,,,,,
FE-Add client,,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
BE-List of projects Dash board,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
FE-List of projects Dash board,,EST_FE,Medium,ET Sprint 2,16,16,,,,,,,,,,
Task 2: Calculate encodings of inputs,,EST_AI,Medium,,35,35,,,,,,,,,,
Task 1: Calculate encodings of inputs,,EST_AI,Medium,,14,14,,,,,,,,,,
Task 2: Changes in model hyperparameters,,EST_AI,Medium,,3,3,,,,,,,,,,
Task 1: Changes in model hyperparameters,,EST_AI,Medium,,3,3,,,,,,,,,,
Task 2: Changes in model architecture to add new features,Add branches and layers in model architecture to use new input features.,EST_AI,Medium,ET Sprint 3,2,2,,,,,,,,,,
Task 1 : Changes in model architecture to add new features,Add branches and layers in model architecture to use new input features.,EST_AI,Medium,ET Sprint 3,2,2,,,,,,,,,,
BE: Side bar dashboard,,EST_BE,Medium,ET Sprint 1,0,0,,,,,,,,,,
FE: Side bar Dashboard,,EST_FE,Medium,ET Sprint 1,24,24,,,,,,,,,,
BE: Landing page,,EST_BE,Medium,ET Sprint 1,16,0,,,,,,,,,,
FE: landing page,,EST_FE,Medium,ET Sprint 1,16,16,,,,,,,,,,
BE : Login Page,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
BE : Sign Up page,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
FE : Sign Up page,,EST_FE,Medium,ET Sprint 1,8,8,,,,,,,,,,
FE- Login page,,EST_FE,Medium,ET Sprint 1,8,8,,,,,,,,,,
Set up environment and install packages,Setting up Python environment in AWS EC-2 Instance and installing required libraries and packages.,EST_INFRA,Medium,ET Sprint 3,4,4,,,,,,,,,,
Set up AWS EC-2 Instance,,EST_INFRA,Medium,ET Sprint 2,8,8,,,,,,,,,,
Set up JDK and integrate with backend,Setup the Java Development Kit in the project environment and integrate it with the Django.,EST_BE,Medium,ET Sprint 3,16,16,,,,,,,,,,
Create django models,,EST_BE,Medium,ET Sprint 2,16,16,,,,,,,,,,
Create django fields,,EST_BE,Medium,ET Sprint 1,12,12,,,,,,,,,,
Setup django configurations,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
Create post request,,EST_BE,Medium,ET Sprint 2,8,8,,,,,,,,,,
Create get request,,EST_BE,Medium,ET Sprint 1,4,4,,,,,,,,,,
Setup django project,,EST_BE,Medium,ET Sprint 1,4,4,,,,,,,,,,
Train and evaluate the model on added features,,EST_AI,Highest,ET Sprint 3,56,0,,,,,,,,,,
Changes in model hyperparameters,,EST_AI,Medium,,6,0,,,,,,,,,,
Changes in model architecture to add new features,,EST_AI,Medium,ET Sprint 3,4,4,,,,,,,,,,
Calculate encodings of inputs,,EST_AI,Medium,,56,0,,,,,,,,,,
User Role data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 2,8,8,,,,,,,,,,
User ID data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 2,8,8,,,,,,,,,,
Timesheet data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,8,,,,,,,,,,
Sprint number data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,7,,,,,,,,,,
Task priority data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,6,,,,,,,,,,
T-shirt size data (Task Characteristics) - Create,,EST_AI,Medium,ET Sprint 1,8,8,,,,,,,,,,
Saving Data to DB per Request/ Schema,,EST_BE,Medium,ET Sprint 2,0,0,,,,,,,,,,
JIRA integration with authentication and authorizations (Assuming we have the Jira account and credentials),Implementation of authentication and authorizations of Jira rest service.,EST_BE,Medium,ET Sprint 3,8,0,,,,,,,,,,
Authorisation setup - with our DB,,EST_BE,Medium,,16,0,,,,,,,,,,
Creation of database,,EST_BE,Medium,ET Sprint 1,8,8,,,,,,,,,,
Validation - error and success messages for all pages,implementing error and success messages for all functionalities.,EST_FE,Medium,ET Sprint 3,16,16,,,,,,,,,,
Task details page/popup - with edit features,,EST_FE,Medium,ET Sprint 3,0,0,,,,,,,,,,
Update AI estimates to JIRA Single/Bulk,,EST_BE,Medium,ET Sprint 3,0,0,,,,,,,,,,
Status of task already fetched from JIRA and updated to Jira,Implemention of  sync and update feature for modified tasks.,EST_BE,Medium,ET Sprint 3,0,0,,,,,,,,,,
List of tasks - Edit Page Sync /update feature,implementing sync and update feature on task list.,EST_BE,Medium,ET Sprint 3,0,0,,,,,,,,,,
List of tasks - Edit Page,Getting list of tasks from Jira based on sprintId,EST_BE,Medium,ET Sprint 3,0,0,,,,,,,,,,
List of Sprint Dashboard,,EST_BE,Medium,ET Sprint 2,0,0,,,,,,,,,,
Sorting and filter on datatables,,EST_FE,Medium,ET Sprint 3,0,0,,,,,,,,,,
FE - Pagination for projects table,,EST_FE,Medium,,0,0,,,,,,,,,,
"delete, update client in add client dialog",,EST_FE,Medium,ET Sprint 2,0,0,,,,,,,,,,
Add client,,EST_FE,Medium,ET Sprint 2,0,0,,,,,,,,,,
List of projects Dash board,Here getting projects from Jira dashboard by using project id.,EST_BE,Medium,ET Sprint 2,16,8,,,,,,,,,,
logout,this is logout functionality.,EST_FE,Medium,ET Sprint 2,0,0,,,,,,,,,,
BE - labels should be part of import template.,,EST_BE,Medium,ET Sprint 4,8,0,,,,,,,,,,
BE - Import Excel standard format,,EST_BE,Medium,ET Sprint 4,8,0,,,,,,,,,,
FE - Import Excel standard format,,EST_FE,Medium,ET Sprint 4,0,0,,,,,,,,,,
FE - Import Feature,,EST_FE,Medium,ET Sprint 4,0,0,,,,,,,,,,
Improve design of all buttons,,,Medium,RSPOT Sprint 6,0,0,,,,,,,,,,
Create tool tips for non-generic buttons,,,Medium,RSPOT Sprint 6,0,0,,,,,,,,,,
Improve UX of all UI screens,,,Medium,RSPOT Sprint 6,0,0,,,,,,,,,,
AI model should be able to predict even if vehicle is not selected in case of images,,,Medium,,0,0,,,,,,,,,,
Vehcile selection is optional in images,,,Medium,,0,0,,,,,,,,,,
Vehicle selection should be mandatory in videos,,,Medium,,0,0,,,,,,,,,,
Vehicle selection options,,,Medium,,0,0,,,,,,,,,,
"Create functionality in app - ""Media and its info should not be altered by the user""",,,Medium,,0,0,,,,,,,,,,
"Create functionality in app - ""Media should be in pending state if app is closed""",,,Medium,,0,0,,,,,,,,,,
Develop code in backend for speech to text,,,Medium,,0,0,,,,,,,,,,
Create functionality in UI for voice feature,,,Medium,,0,0,,,,,,,,,,
POC on black smoke detection,,,Medium,RSPOT Sprint 6,16,0,,,,,,,,,,
Update the rest api as per the changes made in frontend,,,Medium,,0,0,,,,,,,,,,
Develop code in backend to identify the vehicle doing offence,,,Medium,,0,0,,,,,,,,,,
Create drawing tool for marking vehicles doing offence,,,Medium,RSPOT Sprint 6,24,4,,,,,,,,,,
Create internal dashboard to track user requests,,,Medium,,0,0,,,,,,,,,,
Benchmark performance during day and night,,,Medium,,0,0,,,,,,,,,,
POC on AI Model Quantization,,,Medium,,0,0,,,,,,,,,,
POC on AI Model Caching,,,Medium,RSPOT Sprint 6,24,1,,,,,,,,,,
Create Dashboard UI screen,,,Medium,RSPOT Sprint 6,8,0,,,,,,,,,,
POC on image superresolution,,,Medium,RSPOT Sprint 6,24,0,,,,,,,,,,
Improve UX,,,Medium,RSPOT Sprint 6,40,0,,,,,,,,,,
Design Product Brand and Logo,,,Medium,,0,0,,,,,,,,,,
Create use case screen - How to use app?,,,Medium,,0,0,,,,,,,,,,
Benchmark performance on videos,,,Medium,,0,0,,,,,,,,,,
Tune the model training parameters to improve accuracy - 5th variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
Tune the model training parameters to improve accuracy - 4th variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
Tune the model training parameters to improve accuracy - 3rd variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,0,,,,,,,,,,
Windows App testing,,,Medium,,0,0,,,,,,,,,,
Backend overall testing,,,Medium,,0,0,,,,,,,,,,
Android App overall testing,,,Medium,,0,0,,,,,,,,,,
Android deplyement conflig,,,Medium,,0,0,,,,,,,,,,
Android App Release Build Config,,,Medium,,0,0,,,,,,,,,,
Application Splash - Create,,,Medium,,0,0,,,,,,,,,,
Application Icon - Create,,,Medium,,0,0,,,,,,,,,,
UI-GENERAL Mobile: Display bounding boxes,,,Medium,,0,0,,,,,,,,,,
UI-GENERAL Mobile: Video Tracking - 1,,,Medium,,0,0,,,,,,,,,,
Improve performance of ai models - Accuracy - 1,,,Medium,,0,0,,,,,,,,,,
Use Python files in android - 1,,,Medium,,0,0,,,,,,,,,,
Profile Page Backend Save User Data,,,Medium,,0,0,,,,,,,,,,
Signup Page Backend Save User Data,,,Medium,,0,0,,,,,,,,,,
Run project,,,Medium,,0,0,,,,,,,,,,
Deploy project to aws ec2 instance,,,Medium,,0,0,,,,,,,,,,
Create project environment and install packages,,,Medium,,0,0,,,,,,,,,,
Setup aws ec2 instance,,,Medium,,0,0,,,,,,,,,,
Integrate nginx/apache server with Django,,,Medium,,0,0,,,,,,,,,,
Setup nginx/apache server,,,Medium,,0,0,,,,,,,,,,
Create apis for user data,,,Medium,,0,0,,,,,,,,,,
Create models and fields,,,Medium,,0,0,,,,,,,,,,
Integrate with sql database,,,Medium,,0,0,,,,,,,,,,
Setup Django project,,,Medium,,0,0,,,,,,,,,,
Deploy ai models using tensorflow lite - 3,,,Medium,,0,0,,,,,,,,,,
Deploy ai models using tensorflow lite - 2,,,Medium,,0,0,,,,,,,,,,
Deploy ai models using tensorflow lite - 1,,,Medium,,0,0,,,,,,,,,,
Run app in background,,,Medium,,0,0,,,,,,,,,,
Create class for data security - 1,,,Medium,,0,0,,,,,,,,,,
Create class for HR system integration - 1,,,Medium,,0,0,,,,,,,,,,
Create class for alert and security measures - 1,,,Medium,,0,0,,,,,,,,,,
Create class for attendance tracking - 1,,,Medium,,0,0,,,,,,,,,,
Create class for verification - 1,,,Medium,,0,0,,,,,,,,,,
Create class for enrollment - 1,,,Medium,,0,0,,,,,,,,,,
"Create classes for monitoring (Activity, Performance) - 1",,,Medium,,0,0,,,,,,,,,,
Executable file for windows,,,Medium,,0,0,,,,,,,,,,
Face Calibration Android - 1,,,Medium,,40,0,,,,,,,,,,
Send data to dashboard as per api request,,,Medium,,16,0,,,,,,,,,,
"Create class and modules for data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session, etc...) - 3",,,Medium,,8,0,,,,,,,,,,
"Create class and modules for data to be displayed in dashboard for multiple cases (i.e. current session, daily session, weekly session, monthly session, yearly session, etc...) - 2",,,Medium,,16,0,,,,,,,,,,
Keep data in database for each user,,,Medium,,32,0,,,,,,,,,,
Send data to dashboard after every monitoring session - 2,,,Medium,,24,0,,,,,,,,,,
Send data to dashboard after every monitoring session - 1,,,Medium,,32,0,,,,,,,,,,
Send the bounding box coordinates for displaying tracking,,,Medium,,20,0,,,,,,,,,,
Integrate each algorithm for end-to-end AI code - 2,,,Medium,,16,0,,,,,,,,,,
Integrate each algorithm for end-to-end AI code - 1,,,Medium,,24,0,,,,,,,,,,
Create class and data flow for end-to-end pattern detection algorithm,,,Medium,,32,0,,,,,,,,,,
Face Calibration,,EST_AI,High,,20,0,,,,,,,,,,
BE - Pagination API for data tables,,EST_BE,Medium,,0,0,,,,,,,,,,
BE - Setting Up the DB,,EST_BE,Medium,,0,0,,,,,,,,,,
FE - Number of Projects Landing Page with Type of Task with List Dash Board,,EST_FE,Medium,,0,0,,,,,,,,,,
BE - Number of Projects Landing Page with Type of Task with List Dash Board,,EST_BE,Medium,,0,0,,,,,,,,,,
Login page BK,,EST_FE,Medium,,0,0,,,,,,,,,,
Unit testing,,EST_BE,Medium,,0,0,,,,,,,,,,
Run project and expose api's,,EST_INFRA,Medium,,2,0,,,,,,,,,,
Deploy project to AWS,,EST_INFRA,Medium,,16,0,,,,,,,,,,
Create evaluation pipeline for production,,EST_BE,Medium,,0,0,,,,,,,,,,
Create data pipelines for production,,EST_BE,Medium,,0,0,,,,,,,,,,
Create inference script for production,,EST_BE,Medium,,0,0,,,,,,,,,,
Create AI modules and code design for production,,EST_BE,Medium,ET Sprint 4,0,0,,,,,,,,,,
Test the model,,EST_AI,Medium,,2,0,,,,,,,,,,
AI Engine Previous Estimates,,EST_AI,Medium,,8,0,,,,,,,,,,
Deployment,,EST_INFRA,Medium,,0,0,,,,,,,,,,
Reports and Graphs,,EST_FE,Medium,,0,0,,,,,,,,,,
labels should be part of import template.,,EST_BE,Medium,ET Sprint 4,0,0,,,,,,,,,,
Import Excel standard format,,EST_BE,Medium,ET Sprint 4,0,0,,,,,,,,,,
Setting Up the DB,,EST_BE,Medium,,0,0,,,,,,,,,,
Calling Django AI rest API,,EST_BE,Medium,,0,0,,,,,,,,,,
Number of Projects Landing Page with Type of Task with List Dash Board,,EST_FE,Medium,,0,0,,,,,,,,,,
JIRA Rest API implementation,,EST_BE,Medium,,0,0,,,,,,,,,,
Strategy Pattern for DB Storage for JIRA SYNC ( one call for each JIRA project) It must be executor,,EST_BE,Medium,,0,0,,,,,,,,,,
Responsiveness for all pages for smaller screens - desktop and mobile only,,EST_BE,Medium,,0,0,,,,,,,,,,
customer profile page and menu options,,EST_BE,Medium,,0,0,,,,,,,,,,
Task details page/popup - Sync/update,,EST_FE,Medium,,0,0,,,,,,,,,,
More fields - customised fields sync,,EST_FE,Medium,,0,0,,,,,,,,,,
More filelds : Lables to update the Task lables to JIRA eg : ui/ux/integration etc,,EST_FE,Medium,,0,0,,,,,,,,,,
Sync Data from JIRA,,EST_FE,Medium,,0,0,,,,,,,,,,
OTP Screen -- [Minor improvement -> Related to back button & input fields],,EST_FE,Medium,,1,0,,,,,,,,,,
"Assests Improvement (.JPG, .SVG, ,PNG)",,,Medium,,2,0,,,,,,,,,,
Profile Screen [Error uploading profile pic],,,Medium,,3,0,,,,,,,,,,
Camera Screen -- [Once gallery option was not working],,,Medium,,4,0,,,,,,,,,,
POC of Tf-lite model Integration,,,High,RSPOT Sprint 5,16,0,,,,,,,,,,
BE - Import Feature,,EST_BE,Medium,ET Sprint 4,32,24,,,,,,,,,,
Tune the model training parameters to improve accuracy - 2nd variation,Experiment with model hyperparameters by observing the loss and accuracy graphs.,EST_AI,Medium,ET Sprint 4,12,12,,,,,,,,,,
BE - List of tasks - list view along edit and sync feature,Implementation of edit and task feature on list of tasks.,EST_BE,Medium,ET Sprint 4,16,0,,,,,,,,,,
Improve Model Performance (Iterative Process; 1 iteration = 7 Days),,EST_AI,High,ET Sprint 4,56,0,,,,,,,,,,
Import Feature,,EST_FE,Medium,ET Sprint 4,0,0,,,,,,,,,,
List of tasks - list view along edit and sync feature,Implementation of edit and task feature on list of tasks.,EST_FE,Medium,ET Sprint 4,0,0,,,,,,,,,,